Year,F1,TTC PDs
2008,0.0560366478897241,0.0052
2009,0.0536046513961614,0.0044
2010,0.0319105164505264,0.0115
2011,-0.0153810086391493,0.0267
2012,0.0303977706276746,0.0138
2013,0.0328419713479728,0.0000
2014,0.0221325897786599,0.0051
2015,0.0248928328661503,0.0180
2016,0.0169959761772473,0.0095
2017,0.0129885119051163,0.0153
2018,0.0027942985023314,0.0146
2019,0.0091000000000000,0.0218
